Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,0,453,0,3,1,0,0,3,0,2,4,0,0,0,0,0,0,6,3,9,0,1,0,0
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,1,1,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CNS-PiloAstro,0,2,4,4,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,1,0,4,2,0,0,0,0,28,1,0,0,0,0,0,0,2,0,1,0,0,0,0
Liver-HCC,2,3,0,6,8,0,0,0,2,0,13,0,0,0,0,0,0,3,0,0,0,0,2,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,0,5,0,0,0,0,0,0,0,0,44,35,0,0,0,0,1,0,0,0,0
Myeloid-MPN,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Ovary-AdenoCA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0
Panc-AdenoCA,0,0,0,1,3,1,2,0,0,0,0,1,0,0,0,0,0,79,4,0,0,1,1,0
Panc-Endocrine,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,1,0
Prost-AdenoCA,0,4,0,23,10,0,0,1,0,0,0,0,0,0,0,0,0,2,0,100,0,0,2,0
Skin-Melanoma,0,4,0,20,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0,147,0,0,0
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
