Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,1.000,0.500,0.667,4,44
Breast-AdenoCA,1,0.952,1.000,0.976,20,198
CNS-GBM,2,1.000,1.000,1.0,4,41
CNS-Medullo,3,1.000,0.933,0.966,15,146
CNS-PiloAstro,4,0.778,0.778,0.778,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,1.000,0.800,0.889,10,98
Head-SCC,7,0.857,1.000,0.923,6,57
Kidney-ChRCC,8,0.667,1.000,0.8,4,45
Kidney-RCC,9,1.000,1.000,1.0,14,144
Liver-HCC,10,1.000,0.968,0.984,31,326
Lung-AdenoCA,11,1.000,1.000,1.0,4,38
Lung-SCC,12,1.000,0.800,0.889,5,48
Lymph-BNHL,13,1.000,0.900,0.947,10,105
Lymph-CLL,14,0.909,1.000,0.952,10,95
Myeloid-MPN,15,0.833,1.000,0.909,5,55
Ovary-AdenoCA,16,1.000,0.909,0.952,11,113
Panc-AdenoCA,17,0.955,0.875,0.913,24,241
Panc-Endocrine,18,0.700,0.875,0.778,8,85
Prost-AdenoCA,19,0.950,1.000,0.974,19,286
Skin-Melanoma,20,1.000,1.000,1.0,11,107
Stomach-AdenoCA,21,0.600,0.857,0.706,7,75
Thy-AdenoCA,22,0.750,0.600,0.667,5,48
Uterus-AdenoCA,23,1.000,1.000,1.0,4,51
