Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.968,0.938,0.953,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.317,0.690,0.435,58,58
CNS-PiloAstro,4,0.576,0.388,0.463,49,49
ColoRect-AdenoCA,5,0.500,0.167,0.25,6,6
Eso-AdenoCA,6,0.947,0.667,0.783,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.795,0.795,0.795,39,39
Liver-HCC,10,0.941,0.410,0.571,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,1.000,0.588,0.741,85,85
Myeloid-MPN,15,0.333,0.286,0.308,7,7
Ovary-AdenoCA,16,0.913,0.955,0.933,22,22
Panc-AdenoCA,17,0.940,0.839,0.886,93,93
Panc-Endocrine,18,0.250,0.778,0.378,18,18
Prost-AdenoCA,19,0.905,0.739,0.814,142,142
Skin-Melanoma,20,1.000,0.804,0.892,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
