,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Kidney-RCC,8.6524915e-06,5.1926854e-06,7.2519623e-07,1.19153306e-07,1.05123694e-10,1.0254261e-06,1.1922361e-08,2.0986961e-05,2.5311267e-05,0.9988906,8.9906185e-05,2.889717e-05,7.0468167e-07,1.257719e-07,5.8620685e-07,4.6217215e-06,4.160978e-05,1.9808715e-05,0.00082881877,4.8668386e-07,3.9272493e-07,8.3974015e-07,4.720785e-06,2.5804777e-05
Prost-AdenoCA,2.168166e-09,5.9955662e-05,2.1117145e-07,5.647583e-05,2.4162981e-08,1.3817689e-08,1.4102667e-08,6.0571233e-07,2.385761e-05,1.104306e-11,3.4103692e-11,1.3366808e-07,2.3848063e-12,4.362921e-10,1.0657604e-08,3.0209156e-07,1.0043503e-09,2.84492e-07,4.7736586e-07,0.9998574,5.109869e-09,1.7334406e-08,2.8332597e-08,3.67785e-08
Breast-AdenoCA,9.3010867e-26,1.0,5.89357e-28,6.932271e-23,0.0,5.607699e-22,2.2838935e-23,1.2702859e-16,3.0772127e-21,1.2166202e-35,1.8559128e-32,5.383345e-18,2.6060705e-23,0.0,2.5164975e-35,2.0765245e-34,6.579342e-21,2.518273e-21,2.6313111e-25,1.0736453e-16,1.7920994e-18,1.600614e-21,1.798167e-25,3.4870938e-16
CNS-PiloAstro,8.78665e-05,1.014688e-07,4.074832e-05,0.000121889614,0.9991985,8.3441245e-09,6.9304913e-09,2.3064534e-07,4.847763e-07,6.799891e-13,6.2197164e-10,5.3425037e-08,1.7191997e-13,6.591964e-09,8.14362e-06,3.74901e-05,1.2918155e-09,1.5671627e-09,1.5263638e-05,0.0004874376,3.010238e-08,5.7966897e-08,1.7110569e-06,9.508918e-09
Panc-Endocrine,0.0022004982,8.371155e-06,0.0004552775,0.00034056866,0.0006117236,1.4390744e-06,2.6493577e-08,1.3965498e-05,0.0054271016,1.7364982e-07,1.9792597e-06,1.770047e-05,1.8933509e-10,3.8453584e-07,0.0020690633,0.010563157,1.0199419e-06,4.2801878e-07,0.93320006,9.014872e-05,5.988035e-06,1.0770874e-06,0.04498751,2.4048875e-06
CNS-Medullo,1.4899965e-09,9.791786e-06,5.0517797e-06,0.9998964,6.1394263e-07,2.0716757e-09,4.86966e-12,6.2853275e-08,4.832829e-06,3.2839507e-17,5.696964e-13,5.192201e-10,1.6908658e-16,2.48621e-13,1.2851494e-11,9.920903e-09,5.2943097e-12,2.1351131e-11,4.3238647e-06,7.88545e-05,4.840229e-09,2.8087971e-11,2.4577886e-09,4.9669293e-11
Skin-Melanoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lymph-BNHL,1.3872736e-35,0.0,1.8801757e-33,0.0,1.622821e-36,4.3083698e-38,0.0,3.1668185e-33,0.0,1.699862e-32,0.0,0.0,0.0,1.0,7.512998e-10,9.303803e-37,0.0,0.0,1.7087129e-29,2.6227136e-32,3.508101e-35,1.800372e-38,0.0,1.4612467e-33
Panc-AdenoCA,2.4025553e-08,1.7094617e-05,2.6896453e-07,8.0676585e-08,8.990227e-11,0.0006095271,0.024994282,3.5547095e-05,1.0219131e-06,1.364388e-09,2.8880255e-08,0.0018850379,1.2538492e-05,1.4157034e-09,1.7988611e-08,1.0895292e-09,6.1557967e-07,0.9632139,1.1680169e-06,6.1851665e-07,4.870748e-08,0.0092037255,7.639395e-07,2.3761042e-05
Thy-AdenoCA,0.012498404,3.051198e-05,0.00077078893,0.00038060528,0.0018153836,1.1213777e-06,6.855528e-08,9.0149595e-05,0.0049036797,2.4983552e-07,3.0044505e-06,4.162951e-05,1.5770127e-09,1.6530593e-07,0.00013742712,0.0016507816,3.4656387e-06,2.9302953e-07,0.05879286,4.759202e-05,6.1704964e-06,2.2102572e-06,0.9188155,7.977765e-06
Kidney-ChRCC,0.01951859,0.0009811283,0.00069537625,2.403471e-05,5.7570503e-07,0.0012596375,0.002014999,0.002622032,4.9960105e-05,0.051169395,0.036084488,0.13676701,0.10577475,0.0013841657,0.00041729477,5.8702455e-05,0.2987787,0.0008048382,0.007023234,8.5366286e-05,0.0053596785,0.11818955,7.991341e-05,0.21085648
Prost-AdenoCA,2.2323695e-08,0.00037078894,2.5514464e-07,2.5394693e-05,8.682859e-09,3.5928943e-07,1.3238599e-07,2.3384662e-06,1.7465254e-05,5.0933732e-08,9.796653e-08,6.486246e-07,3.3663888e-10,1.9455072e-08,5.7672264e-07,4.9640227e-07,5.6886073e-08,1.3526887e-05,2.0888727e-05,0.99954563,8.5417735e-09,5.6184285e-07,1.979804e-08,5.506664e-07
