Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,1.000,0.750,0.857,4,44
Breast-AdenoCA,1,0.909,1.000,0.952,20,198
CNS-GBM,2,1.000,1.000,1.0,4,41
CNS-Medullo,3,0.875,0.933,0.903,15,146
CNS-PiloAstro,4,0.667,0.889,0.762,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,1.000,0.700,0.824,10,98
Head-SCC,7,1.000,1.000,1.0,6,57
Kidney-ChRCC,8,1.000,0.800,0.889,5,45
Kidney-RCC,9,0.933,1.000,0.966,14,144
Liver-HCC,10,1.000,1.000,1.0,31,326
Lung-AdenoCA,11,1.000,1.000,1.0,4,38
Lung-SCC,12,1.000,0.800,0.889,5,48
Lymph-BNHL,13,1.000,1.000,1.0,11,105
Lymph-CLL,14,1.000,1.000,1.0,9,95
Myeloid-MPN,15,1.000,1.000,1.0,5,55
Ovary-AdenoCA,16,1.000,1.000,1.0,11,113
Panc-AdenoCA,17,1.000,0.913,0.955,23,241
Panc-Endocrine,18,0.889,0.889,0.889,9,85
Prost-AdenoCA,19,0.947,0.947,0.947,19,286
Skin-Melanoma,20,1.000,0.909,0.952,11,107
Stomach-AdenoCA,21,0.500,0.571,0.533,7,75
Thy-AdenoCA,22,0.800,0.800,0.8,5,48
Uterus-AdenoCA,23,0.800,1.000,0.889,4,51
