"","uuid","fold"
"1","0009b464-b376-4fbc-8a56-da538269a02f",1
"2","003819bc-c415-4e76-887c-931d60ed39e7",1
"3","0040b1b6-b07a-4b6e-90ef-133523eaf412",1
"4","00508f2b-36bf-44fc-b66b-97e1f3e40bfa",1
"5","005794f1-5a87-45b5-9811-83ddf6924568",1
"6","007aab66-2f07-459d-8952-3041d6ea24a8",1
"7","008aef39-0c97-48ce-9dfd-f12d67116c59",1
"8","008bad10-d41b-4bbb-86fa-9976ecea46b1",1
"9","00aa769d-622c-433e-8a8a-63fb5c41ea42",1
"10","00b9d0e6-69dc-4345-bffd-ce32880c8eef",1
"11","00bf0350-8c7c-4b9e-8143-13ea2dc1122f",1
"12","00c27940-c623-11e3-bf01-24c6515278c0",1
"13","00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7",1
"14","01658141-8398-4585-9f0f-8355dd9b0604",1
"15","0168a2a6-c3af-4d58-a51c-d33f0fc7876d",1
"16","0176cf1d-0760-4769-a493-277f4bb7585e",1
"17","0192d529-7340-45d8-a5f0-249cbb11ca19",1
"18","01b0848c-ae36-4ade-a3da-d297b003c99f",1
"19","01c8e465-2b4e-4519-bdef-c3ac06b43eeb",1
"20","01dc6872-c623-11e3-bf01-24c6515278c0",1
"21","02078f77-2b35-4fa3-ab02-2c017181295e",1
"22","020fab36-c7de-4933-b2bf-dc7b019a1326",1
"23","0250e6f7-2538-4d1f-a8ff-ca34a7057dde",1
"24","02917220-6a7a-46a1-8656-907e96bef88e",1
"25","0292a46f-a282-4b7f-a7d6-ac55cc7324fb",1
"26","02c6a893-49c5-49d1-8eb1-195021e70d52",1
"27","02c97e2b-914e-4afc-bf50-78f0cfbfa67b",1
"28","02e5c36f-5bec-45e2-a048-875653b85ca1",1
"29","031962d6-fc7d-4c6c-9d47-ffa45997b249",1
"30","0363fe2c-d765-450e-8b1a-d13a23d9af2a",1
"31","0385961e-ea99-40b2-ad79-6872bc30d8a1",1
"32","03ad38a6-0902-4aaa-84a3-91ea88fa9883",1
"33","03b5268e-881e-49e7-824f-170c3fc8b11b",1
"34","03c3c692-8a86-4843-85ae-e045f0fa6f88",1
"35","03c88506-d72e-4a44-a34e-a7f0564f1799",1
"36","03cff38d-7e29-4409-a508-749bddb1b3df",1
"37","041e3b42-c623-11e3-bf01-24c6515278c0",1
"38","04339769-517c-448d-a7ca-951f83608c60",1
"39","0448206f-3ade-4087-b1a9-4fb2d14e1367",1
"40","046d7386-95c8-4501-9e55-c85bec272a7a",1
"41","04aa6b77-8074-480c-872e-a1a47afa5314",1
"42","04b570c2-3224-4e9b-81cc-089b4a7ff07a",1
"43","04b9837e-9ab5-4eb9-9a9c-ef49e3a62662",1
"44","04c09376-8756-41d9-bbca-f464170a8cfb",1
"45","04db8bef-8777-48ac-bc2e-3c9acb103f48",1
"46","05070acd-3ec1-44bb-9c32-26d3a483a72a",1
"47","052665d1-ab75-4f40-be5a-b88154c8beed",1
"48","0554ffe5-31f7-43f5-8372-2b73c9cf3527",1
"49","0567d3e6-6278-4d0a-81ae-c084d73c6dd3",1
"50","05c487aa-72d8-42e6-aa2b-b9b5ce273f5c",1
"51","05da3161-1444-4188-914d-19762de3a443",1
"52","06018aae-1107-4899-bd24-14e6b1f94709",1
"53","0624eb1d-3aff-4037-a3c5-fc363a9edd02",1
"54","063cfacf-9933-4a2d-8921-0aeb76e12779",1
"55","0664753b-7566-41e0-8006-7009c6735406",1
"56","068f4f69-d2fe-4f25-912e-ca7d4623efb6",1
"57","06ecd127-6c24-422d-a7fb-bf5aee1b8b7b",1
"58","074fd614-5d9c-4bcc-96ad-351aa14387e3",1
"59","07531318-87e8-4db8-aa61-9b93597d063b",1
"60","07835447-5d7e-4828-80fd-89b063989c9a",1
"61","079bcb09-a075-4313-9a3e-dd67734a8c5d",1
